Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,573.0804,NA,6.39980000000000,6.94850000000000,0.09100000000000,0.91930000000000,12.1975,566.7471,6.4243,6.3333,0.0910,6.4888,0.7638,0.2263,0.5375,0.2714,566.7471,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,578.7316,NA,6.91990000000000,6.94850000000000,0.15140000000000,0.09080000000000,6.5463,571.9452,6.9378,6.7864,0.1514,0.0000,6.8881,0.1993,6.6888,-0.0047,571.9452,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,583.0652,NA,9.98480000000000,6.94970000000000,0.07350000000000,0.42610000000000,9.1624,573.1714,9.9673,9.8938,0.0735,10.0902,0.2297,0.2297,0.0000,-0.5254,573.1714,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,586.0971,NA,7.36550000000000,6.94970000000000,0.40560000000000,0.34130000000000,6.1305,578.8830,7.6197,7.2141,0.4056,0.0000,7.6160,0.2310,7.3850,-0.0119,578.8830,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,589.0224,NA,5.95720000000000,6.94560000000000,0.10730000000000,0.56130000000000,10.1508,583.1387,5.9910,5.8837,0.1073,6.0723,0.3727,0.2615,0.1112,3.0217,583.1387,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,592.9572,NA,6.86010000000000,6.94560000000000,0.24830000000000,0.17630000000000,6.2160,586.5027,6.7028,6.4545,0.2483,0.0000,6.6951,0.2382,6.4569,0.6741,586.5027,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,593.5306,NA,4.50820000000000,6.96470000000000,0.10370000000000,0.37480000000000,12.6073,589.1297,4.5046,4.4009,0.1037,4.5567,0.2190,0.2190,0.0000,-0.9737,589.1297,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,599.7479,NA,6.79070000000000,6.96470000000000,0.35340000000000,0.25620000000000,6.3900,593.2055,6.8958,6.5424,0.3534,0.0000,6.8706,0.2204,6.6502,-0.2619,593.2055,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,602.0652,NA,8.53460000000000,6.92850000000000,0.09590000000000,0.43880000000000,11.0012,593.6343,8.5268,8.4309,0.0959,8.6205,0.2492,0.2492,0.0000,-2.4239,593.6343,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,606.9107,NA,7.16280000000000,6.92850000000000,0.23500000000000,0.18510000000000,6.1557,600.1013,7.0444,6.8094,0.2350,0.0000,7.0917,0.2663,6.8254,-0.0327,600.1013,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,610.5534,NA,8.48820000000000,6.95320000000000,0.10950000000000,0.43540000000000,9.4662,602.1611,8.5018,8.3923,0.1095,8.6027,0.2250,0.2250,0.0000,1.5736,602.1611,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,615.0953,NA,4.54190000000000,NA,0.08700000000000,0.61460000000000,NA,610.6629,4.5194,4.4324,0.0870,4.6273,0.4197,0.4197,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,622.6389,NA,7.54360000000000,NA,0.11330000000000,0.42120000000000,NA,615.1823,7.5699,7.4566,0.1133,0.5616,7.3162,0.4103,6.9059,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,631.4584,NA,8.81950000000000,NA,0.08980000000000,0.44840000000000,NA,622.7522,8.7960,8.7062,0.0898,8.9256,0.2290,0.1736,0.0554,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,636.8871,NA,5.42870000000000,NA,0.07280000000000,0.59970000000000,NA,631.5482,5.4117,5.3389,0.0728,5.7125,0.2261,0.1607,0.0654,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,645.2950,NA,8.40790000000000,NA,0.06370000000000,0.38610000000000,NA,636.9599,8.3988,8.3351,0.0637,8.4657,0.2555,0.1670,0.0885,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,651.3135,NA,6.01850000000000,NA,0.06600000000000,0.42560000000000,NA,645.3587,6.0208,5.9548,0.0660,6.1179,0.2625,0.2478,0.0147,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,655.6714,NA,4.35790000000000,NA,0.07250000000000,0.43400000000000,NA,651.3795,4.3644,4.2919,0.0725,4.4232,0.3027,0.1563,0.1464,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,665.4009,NA,9.72950000000000,NA,0.06610000000000,0.35040000000000,NA,655.7439,9.7231,9.6570,0.0661,9.8051,0.2023,0.1504,0.0519,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,674.6900,NA,9.28910000000000,NA,0.06070000000000,0.69290000000000,NA,665.4670,9.2837,9.2230,0.0607,9.7398,0.1761,0.1761,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,680.5695,NA,5.87950000000000,NA,0.07940000000000,0.42230000000000,NA,674.7507,5.8982,5.8188,0.0794,0.6741,5.5670,0.1992,5.3678,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,686.7035,NA,6.13400000000000,NA,0.06360000000000,0.41450000000000,NA,680.6489,6.1182,6.0546,0.0636,6.2408,0.2283,0.1804,0.0479,NA,NA,NA,NA,NA
