Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,226.7325,NA,6.94120000000000,6.89150000000000,0.06840000000000,0.48660000000000,18.6870,219.8624,6.9385,6.8701,0.0684,7.0708,0.2859,0.2480,0.0379,-0.2145,219.8624,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,232.0291,NA,6.93300000000000,6.89150000000000,0.14430000000000,0.12360000000000,13.3904,225.3466,6.8268,6.6825,0.1443,0.0000,6.8405,0.1953,6.6452,0.1580,225.3466,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,233.7897,NA,7.05720000000000,6.94230000000000,0.07600000000000,0.34220000000000,18.5721,226.8009,7.0648,6.9888,0.0760,7.0074,0.3236,0.2497,0.0739,-0.0038,226.8009,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,238.9965,NA,6.96740000000000,6.94230000000000,0.12980000000000,0.10500000000000,13.3653,232.1734,6.9529,6.8231,0.1298,0.0000,6.9488,0.1933,6.7555,-0.1155,232.1734,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,240.4586,NA,6.66890000000000,6.94020000000000,0.06110000000000,0.32900000000000,18.8434,233.8657,6.6540,6.5929,0.0611,6.7070,0.2149,0.2149,0.0000,0.1246,233.8657,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,245.9171,NA,6.92060000000000,6.94020000000000,0.17400000000000,0.15070000000000,13.3849,239.1263,6.9648,6.7908,0.1740,0.0000,6.9663,0.1998,6.7665,0.0127,239.1263,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,247.5758,NA,7.11720000000000,6.95070000000000,0.07140000000000,0.49690000000000,18.6769,240.5197,7.1275,7.0561,0.0714,7.2062,0.3468,0.2512,0.0956,-0.2967,240.5197,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,252.8230,NA,6.90590000000000,6.95070000000000,0.20010000000000,0.16600000000000,13.4297,246.0911,6.9320,6.7319,0.2001,0.0000,6.9212,0.2048,6.7164,0.0141,246.0911,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,254.3371,NA,6.76130000000000,6.94470000000000,0.06390000000000,0.32160000000000,18.8603,247.6472,6.7538,6.6899,0.0639,6.7992,0.2123,0.2123,0.0000,0.1828,247.6472,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,259.7360,NA,6.91300000000000,6.94470000000000,0.12840000000000,0.11350000000000,13.4614,253.0231,6.8413,6.7129,0.1284,0.0000,6.8605,0.1805,6.6800,-0.0127,253.0231,NA,NA,NA
